b0,b1,b2,candidate_seed,weighted_f1,macro_f1,ordinal_mae,quadratic_weighted_kappa,first_generation,seconds,wavelengths_nm
354,230,220,2302863096,0.7499950677534915,0.7253629960368966,0.41875,0.6519721577726219,6,207.69470309605822,"[874.33, 703.85, 690.25]"
396,196,256,2794959626,0.7673311360770377,0.7512570216668577,0.3625,0.723526343244653,6,201.30362080736086,"[932.88, 657.72, 739.3]"
357,220,218,1649273489,0.7191420128870811,0.6990563081931155,0.41875,0.6891857179553045,6,204.5006993501447,"[878.5, 690.25, 687.54]"
338,311,215,1679365363,0.7404765395894428,0.7258233701782089,0.44375,0.6436470877365446,7,201.1313798627816,"[852.13, 814.81, 683.47]"
390,226,224,276444663,0.6970735930735931,0.6668398268398269,0.49375,0.608615707906488,7,202.76784646790475,"[924.49, 698.41, 695.69]"
359,243,219,1339150006,0.7688323689473167,0.7615009179424974,0.4,0.6786757546251216,7,201.76595203392208,"[881.28, 721.56, 688.9]"
397,128,196,2967970405,0.8024550547152691,0.7864182019499318,0.36875,0.665148673988749,7,203.66507443692535,"[934.28, 566.27, 657.72]"
400,228,327,3945550512,0.704357204221895,0.6987282155130093,0.4625,0.6660212971926428,7,201.72657946683466,"[938.48, 701.13, 836.91]"
194,231,234,1835298176,0.7495188354404358,0.7340991181532346,0.38125,0.716039907904835,7,204.8443292528391,"[655.02, 705.21, 709.29]"
336,226,256,3665638601,0.7400750008408166,0.7065718225540645,0.35625,0.7730046375396632,7,201.72635266929865,"[849.36, 698.41, 739.3]"
329,257,317,539164521,0.7047731054011894,0.6879357920034936,0.41875,0.7202964379631844,7,204.21403786027804,"[839.67, 740.67, 823.09]"
364,238,234,768110190,0.746573022548563,0.7369571198297671,0.38125,0.7181277476079648,7,202.36119633493945,"[888.23, 714.74, 709.29]"
378,210,270,3885780391,0.7474176968746573,0.7429341741115183,0.375,0.7356608478802993,7,201.4153724904172,"[907.74, 676.68, 758.46]"
381,189,210,2189758844,0.7430475781227263,0.7309496050707083,0.35,0.7742432016418677,7,204.68293161783367,"[911.92, 648.26, 676.68]"
342,268,217,853824339,0.7911602001321628,0.7708408068221153,0.3125,0.7775530839231547,8,202.45999755291268,"[857.68, 755.72, 686.18]"
363,247,224,1901191911,0.7540088963024743,0.745352608655361,0.375,0.7331319234642497,8,201.1906839683652,"[886.84, 727.01, 695.69]"
364,229,225,3136432889,0.7148195715533177,0.7086174145771669,0.475,0.6406619385342789,8,202.83873026398942,"[888.23, 702.49, 697.05]"
364,232,218,2784435894,0.7457288342725236,0.7361735352026615,0.46875,0.5876030992251937,8,205.3710505599156,"[888.23, 706.57, 687.54]"
364,237,223,633207260,0.8131160707980417,0.7955838417204599,0.3,0.7695390781563126,8,204.37936939578503,"[888.23, 713.38, 694.33]"
358,243,229,2671821949,0.7066538247443823,0.6883326985615094,0.44375,0.6790246329932819,8,201.22420076513663,"[879.89, 721.56, 702.49]"
370,211,237,587118476,0.7621152058741518,0.756056789664467,0.3625,0.7351324337831084,8,203.30454195616767,"[896.59, 678.04, 713.38]"
